WavFileName,grade,canonical_word,decoded_word,label,start_time,end_time,canonical_phone_seq,GT_label,GT_binary
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,always,always,c,17.49,17.97,AO L W EY Z,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,smiled,smiled,c,18.0,18.57,S M AY L D,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,at,at,c,18.57,18.93,AE T,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,him,him,c,18.93,19.35,HH IH M,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,but,but,c,19.35,19.74,B AH T,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,one,one,c,20.04,20.46,W AH N,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,day,day,c,20.46,20.85,D EY,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,the,the,c,21.6,22.14,DH AH,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,animals,animals,c,22.14,22.83,AE N AH M AH L Z,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,were,were,c,23.1,23.4,W AH R,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,angry,angry,c,23.4,24.06,AE NG G R IY,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,with,with,c,24.06,24.57,W IH DH,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,him,him,c,24.57,25.05,HH IH M,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,because,because,c,25.23,25.89,B IH K AO Z,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,he,he,c,25.89,26.25,HH IY,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,was,was,c,26.25,26.76,W AA Z,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,proud,proud,c,26.94,27.42,P R AW D,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,and,and,c,27.42,27.81,AH N D,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,they,they,c,27.81,28.05,DH EY,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,ran,ran,c,28.05,28.59,R AE N,s,1
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,away,away,c,28.77,29.34,AH W EY,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,the,the,c,29.52,29.79,DH AH,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,peacock,peacock,c,29.79,30.33,P IY K AA K,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,shouted,shouted,c,30.33,30.93,SH AW T AH D,s,1
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,and,and,c,30.93,31.17,AH N D,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,shouted,shouted,c,31.17,31.68,SH AW T AH D,s,1
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,all,all,c,32.79,33.12,AO L,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,day,day,c,33.12,33.54,D EY,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,long,long,c,33.87,34.32,L AO NG,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,hoping,hoping,c,34.32,35.01,HH OW P IH NG,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,for,for,c,35.25,35.61,F AO R,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,them,them,c,35.61,36.0,DH EH M,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,to,to,c,36.0,36.33,T UW,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,come,come,c,36.33,36.72,K AH M,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,back,back,c,36.72,37.08,B AE K,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,but,but,c,37.08,37.44,B AH T,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,the,the,c,37.44,37.92,DH AH,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,animals,animals,c,38.34,38.91,AE N AH M AH L Z,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,did,did,c,38.91,39.21,D IH D,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,not,not,c,39.21,39.6,N AA T,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,come,come,c,39.6,39.87,K AH M,c,0
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,3,back,back,c,39.87,40.2,B AE K,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,long,long,c,0.99,1.44,L AO NG,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,long,long,c,1.44,1.98,L AO NG,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,ago,ago,c,2.16,2.73,AH G OW,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,the,the,c,3.03,3.3,DH AH,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,peacock,peacock,c,3.3,3.93,P IY K AA K,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,had,had,c,3.93,4.35,HH AE D,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,a,a,c,4.35,4.5,AH,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,lovely,lovely,c,4.5,5.01,L AH V L IY,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,voice,voice,c,5.01,5.43,V OY S,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,and,and,c,5.43,5.7,AH N D,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,beautiful,beautiful,c,5.7,6.42,B Y UW T AH F AH L,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,feathers,feathers,c,6.42,7.02,F EH DH AH R Z,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,every,every,c,7.23,7.77,EH V AH R IY,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,day,day,c,7.77,8.04,D EY,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,he,he,c,8.04,8.31,HH IY,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,walked,walked,c,8.31,9.06,W AO K T,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,in,in,c,9.93,10.26,IH N,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,front,front,c,10.26,10.89,F R AH N T,s,1
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,of,of,c,10.92,11.31,AH V,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,all,all,c,11.37,11.94,AO L,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,the,the,c,12.12,12.48,DH AH,s,1
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,other,other,c,12.48,12.87,AH DH AH R,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,animals,animals,c,12.87,13.74,AE N AH M AH L Z,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,he,he,c,13.86,14.64,HH IY,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,liked,liked,c,14.7,15.36,L AY K T,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,to,to,c,15.87,16.14,T UW,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,show,show,c,16.14,16.68,SH OW,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,off,off,c,16.68,17.07,AO F,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,his,his,c,17.1,17.61,HH IH Z,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,beautiful,beautiful,c,18.09,18.84,B Y UW T AH F AH L,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,feathers,feathers,c,18.84,19.65,F EH DH AH R Z,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,the,the,c,20.07,20.4,DH AH,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,animals,animals,c,20.4,21.03,AE N AH M AH L Z,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,always,always,c,21.09,21.9,AO L W EY Z,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,smiled,smiled,c,22.26,22.92,S M AY L D,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,at,at,c,22.95,23.28,AE T,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,him,him,c,23.28,23.67,HH IH M,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,but,but,c,23.82,24.3,B AH T,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,one,one,c,24.33,24.78,W AH N,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,day,day,c,24.78,25.14,D EY,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,the,the,c,25.14,25.44,DH AH,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,animals,animals,c,25.44,26.28,AE N AH M AH L Z,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,were,were,c,26.28,26.61,W AH R,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,angry,angry,c,26.61,27.12,AE NG G R IY,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,with,with,c,27.12,27.45,W IH DH,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,him,him,c,27.45,27.84,HH IH M,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,because,because,c,28.35,28.98,B IH K AO Z,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,he,he,c,28.98,29.25,HH IY,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,was,was,c,29.25,29.67,W AA Z,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,proud,proud,c,29.67,30.18,P R AW D,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,and,and,c,30.21,30.63,AH N D,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,they,they,c,30.63,31.11,DH EY,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,ran,ran,c,31.32,31.77,R AE N,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,away,away,c,31.8,32.34,AH W EY,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,the,the,c,32.67,32.94,DH AH,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,peacock,peacock,c,32.94,33.45,P IY K AA K,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,shouted,shouted,c,33.45,34.29,SH AW T AH D,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,and,and,c,36.33,36.78,AH N D,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,shouted,shouted,c,36.78,37.47,SH AW T AH D,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,all,all,c,37.62,38.16,AO L,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,day,day,c,38.19,38.58,D EY,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,long,long,c,38.58,39.09,L AO NG,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,hoping,hoping,c,39.09,39.75,HH OW P IH NG,s,1
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,for,for,c,39.75,40.26,F AO R,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,them,them,c,40.56,41.01,DH EH M,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,to,to,c,41.22,41.52,T UW,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,come,come,c,41.52,41.82,K AH M,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,back,back,c,41.82,42.15,B AE K,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,but,but,c,42.15,42.57,B AH T,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,the,the,c,42.72,43.17,DH AH,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,animals,animals,c,43.47,44.13,AE N AH M AH L Z,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,did,did,c,44.13,44.46,D IH D,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,not,not,c,44.46,44.82,N AA T,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,come,come,c,44.82,45.15,K AH M,c,0
as_3-a-8_kv_kv-no2-3brd-chandigarh_06082025-000000-1_EN-OL-RC-235_1,3,back,back,c,45.15,45.66,B AE K,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,soon,soon,c,0.99,1.86,S UW N,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,his,his,c,2.34,3.24,HH IH Z,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,voice,voice,c,3.33,4.05,V OY S,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,became,became,c,4.14,4.92,B IH K EY M,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,bad,bad,c,5.13,5.76,B AE D,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,days,days,c,6.33,7.08,D EY Z,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,went,went,c,7.08,7.53,W EH N T,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,by,by,c,7.56,8.1,B AY,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,the,the,c,8.55,8.97,DH AH,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,peacock,peacock,c,8.97,9.72,P IY K AA K,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,was,was,c,9.78,10.47,W AA Z,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,very,very,c,10.74,11.19,V EH R IY,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,sad,sad,c,11.19,11.7,S AE D,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,he,he,c,12.36,12.78,HH IY,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,did,did,c,12.78,13.11,D IH D,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,not,not,c,13.14,13.71,N AA T,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,shout,shout,c,13.83,14.64,SH AW T,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,any,any,c,14.7,15.27,EH N IY,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,more,more,c,15.27,15.81,M AO R,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,he,he,c,16.62,17.22,HH IY,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,had,had,c,17.37,17.79,HH AE D,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,lost,lost,c,17.85,18.48,L AO S T,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,his,his,c,18.48,18.87,HH IH Z,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,lovely,lovely,c,18.87,19.5,L AH V L IY,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,voice,voice,c,19.5,19.95,V OY S,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,a,a,c,20.79,21.06,AH,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,monkey,monkey,c,21.06,21.87,M AH NG K IY,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,saw,saw,c,22.02,22.68,S AO,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,the,the,c,22.68,22.92,DH AH,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,sad,sad,c,22.92,23.43,S AE D,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,peacock,peacock,c,23.52,24.27,P IY K AA K,c,0
gw_3-a-2_kv_kv-no2-crpf-langjing-imphal_22082024-000000-1_EN-OL-RC-235_2,3,and,and,c,24.27,24.57,AH N D,c,0
