utterance_id,canonical_word,GT_decoded_word,GT_label,start_time,end_time,canonical_phone_seq,GT_wav2vec_phone_seq_clean,MT_decoded_costed_neglog
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,योजना,योजना,c,14.43,15.06,y oo j aa n AA,y oo j aa n AA,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,बनाई,बनाई,c,15.06,15.57,b aa n AA II,b aa n AA II,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,और,और,c,16.02,16.35,OO r,OO r,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,घूमने,घूमने,c,16.35,17.13,gh UU m aa n ee,gh UU m aa n ee,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,निकल,निकल,c,17.13,17.76,n ii k aa l,n ii k aa l,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,पडा,पडा,c,18.15,18.57,<UNK>,p aa D AA,4.74464614119166
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,जब,जब,c,18.57,18.87,j aa b,j aa b,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,वह,वह,c,18.87,19.32,w aa hh,w aa hh,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,यात्रा,यात्रा,c,19.32,19.92,y AA t r AA,y AA t r AA,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,से,से,c,19.92,20.19,s ee,s ee,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,लौट,लौट,c,20.19,20.64,l OO T,l OO T,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,कर,कर,c,20.64,20.94,k aa r,k aa r,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,अपने,अपने,c,20.94,21.42,aa p aa n ee,aa p aa n ee,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,महल,महल,c,21.75,22.17,m aa hh aa l,m aa hh aa l,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,आया,आया,c,22.17,22.59,AA y AA,AA y AA,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,उसने,उसने,c,22.59,23.31,uu s aa n ee,uu s aa n ee,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,अपने,अपने,c,23.67,24.39,aa p aa n ee,aa p aa n ee,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,मंत्रियों,मित्रों,s,24.87,25.62,m aa q t r ii y oo q,m ii t r oo q,5.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,से,से,c,25.62,26.34,s ee,s ee,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,पैरों,पैरों,c,26.85,27.42,p ee r oo q,p ee r oo q,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,में,में,c,27.45,27.69,m ee q,m ee q,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,दर्द,दर्द,c,27.69,28.11,d aa r d,d aa r d,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,होने,होने,c,28.11,28.77,hh oo n ee,hh oo n ee,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,की,की,c,28.77,29.19,k II,k II,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,शिकायत,शिकायत,c,30.45,31.38,sh ii k AA y aa t,sh ii k AA y aa t,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,की,की,c,31.38,31.71,k II,k II,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,राजा,राजा,c,31.71,32.25,r AA j AA,r AA j AA,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,का,का,c,32.25,32.67,k AA,k AA,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,कहना,कहना,c,32.97,33.69,k aa hh aa n AA,k aa hh aa n AA,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,था,था,c,34.08,34.47,th AA,th AA,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,कि,कि,c,34.47,34.83,k ii,k ii,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,मार्ग,गरम,s,34.83,35.19,m AA r g,g aa r,5.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,में,मे,s,35.43,35.64,m ee q,w ee,3.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,जो,जो,c,35.64,35.97,j oo,j oo,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,कंकड,कंकड,c,35.97,36.6,<UNK>,k aa q k aa D,5.80133717363437
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,पत्थर,पत्थर,c,36.6,37.23,p aa t th aa r,p aa t th aa r,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,थे,थे,c,37.23,37.74,th ee,th ee,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,वे,वे,c,37.74,38.1,w ee,w ee,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,मेरे,मेरे,c,38.49,39.03,m ee r ee,m ee r ee,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,पैरों,पैरों,c,39.03,39.54,p ee r oo q,p ee r oo q,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,में,में,c,39.57,39.75,m ee q,m ee q,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,चुभ,चुभ,c,39.75,40.05,c uu bh,c uu m,2.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,गए,गए,c,40.05,40.44,g ee,g ee,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,और,और,c,40.83,41.13,OO r,OO r,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,इसके,इसके,c,41.52,42.0,ii s aa k ee,ii s aa k ee,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,लिए,लिए,c,42.0,42.33,l ii ee,l ii ee,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,कुछ,कुछ,c,42.33,42.75,k uu ch,k uu ch,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,इंतजाम,इंतजार,s,43.11,43.89,ii q t aa j AA m,ii q t aa j AA r,2.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,करना,करना,c,43.89,44.37,k aa r aa n AA,k aa r aa n AA,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/vr_3-c-18_kv_kv-no2-eklinggarh-udaipur_04122023-000000-1_HI-KV-001_1.wav,चाहिए,चाहिए,c,44.37,44.88,c AA hh ii ee,c AA hh ii ee,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,सालों,सालों,c,0.99,2.07,s AA l oo q,s AA l oo q,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,पहले,पेहेले,s,2.25,2.85,p aa hh aa l ee,p aa hh aa l ee,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,एक,एक,c,2.85,3.33,ee k,ee k,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,घंटाघर,घंटाघर,c,3.42,4.59,gh aa q T AA gh aa r,gh aa q T AA gh aa r,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,में,में,c,4.59,5.13,m ee q,m ee q,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,टीकू,टीकू,c,5.13,6.0,T II k UU,T II q k UU,1.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,चिड़िया,चिड़िया,c,6.33,6.96,c ii D ii y AA,c ii D ii y AA,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,अपने,अपने,c,6.96,7.83,aa p aa n ee,aa p aa n ee,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,माता,माता,c,7.83,8.34,m AA t AA,m AA t AA,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,पिता,पिता,c,8.34,8.85,p ii t AA,p ii t AA,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,और,और,c,8.88,9.36,OO r,OO r,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,पांच,पांच,c,9.39,9.84,<UNK>,p AA q c,4.74051274733245
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,भाइयों,भाइयों,c,9.84,10.47,bh AA ii y oo q,bh AA ii y oo q,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,के,के,c,11.04,11.25,k ee,k ee,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,साथ,साथ,c,11.25,11.7,s AA th,s AA th,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,रहती,रेहेती,s,12.03,12.57,r aa hh aa t II,r aa hh aa t II,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,थी,थी,c,12.57,13.05,th II,th II,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,टीकू,टीकू,c,13.5,14.13,T II k UU,T II q k UU,1.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,चिड़िया,चिड़िया,c,14.34,14.85,c ii D ii y AA,c ii D ii y AA,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,छोटी,छोटी,c,14.85,15.39,ch oo T II,ch oo T II,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,सी,सी,c,15.39,15.66,s II,s II,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,थी,थी,c,15.66,16.08,th II,th II,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,उसके,उसके,c,16.62,17.13,uu s aa k ee,uu s aa k ee,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,पंख,पंख,c,17.13,17.61,p aa q kh,p aa q kh,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,मुलायम,मुलायम,c,17.61,18.27,m uu l AA y aa m,m uu l AA y aa m,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,थे,थे,c,18.27,18.63,th ee,th ee,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,उसकी,उसकी,c,19.11,20.13,uu s aa k II,uu s aa k II,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,मां,मां,c,20.13,20.7,<UNK>,m AA,3.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,ने,ने,c,20.97,21.54,n ee,n ee,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,उसे,उसे,c,21.57,22.05,uu s ee,uu s ee,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,घंटाघर,घंटाघर,c,22.05,23.07,gh aa q T AA gh aa r,gh aa q T AA gh aa r,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,की,की,c,23.07,23.37,k II,k II,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,ताल,ताल,c,23.37,23.88,t AA l,t AA l,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,पर,पर,c,23.88,24.33,p aa r,p aa r,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,चहकना,चहकना,c,24.87,25.8,c aa hh aa k aa n AA,c aa hh aa k aa n AA,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,सिखाया,सिखाया,c,25.83,26.61,s ii kh AA y AA,s ii kh AA y AA,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,था,था,c,26.61,27.15,th AA,th AA,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,घंटाघर,घंटाघर,c,27.63,28.68,gh aa q T AA gh aa r,gh aa q T AA gh aa r,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,के,के,c,28.68,28.92,k ee,k ee,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,पास,पास,c,28.92,29.58,p AA s,p AA s,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,ही,ही,c,29.88,30.12,hh II,hh II,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,एक,एक,c,30.15,30.51,ee k,ee k,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,घर,घर,c,30.51,30.87,gh aa r,gh aa r,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,था,था,c,30.87,31.32,th AA,th AA,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,जिसमें,जिसमें,c,31.68,32.34,j ii s aa m ee q,j ii s aa m ee q,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,पक्षियों,पक्षियों,c,32.58,33.63,p aa k sh ii y oo q,p aa k sh ii y oo q,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,से,से,c,33.81,34.29,s ee,s ee,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,प्यार,प्यार,c,34.29,34.74,p y AA r,p y AA r,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,करने,करने,c,34.74,35.28,k aa r aa n ee,k aa r aa n ee,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,वाली,वाली,c,35.28,35.76,w AA l II,w AA l II,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,एक,एक,c,35.76,36.03,ee k,ee k,0.0
/home/daplab/30006664/kv_allindia_dec2023/audios/hy_3-c-9_kv_kv-rdso-lucknow_04122023-000000-1_HI-KV-002_1.wav,महिला,महिला,c,36.03,36.45,m aa hh ii l AA,m aa hh ii l AA,0.0
