WavFileName,canonical_word,decoded_word,label,start_time,end_time,span_dur,speech_dur,ctm_entry,canonical_phone_seq
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,of,of,c,1.44,1.71,0.27,0.27,of,AO F
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,them,them,c,1.71,2.25,0.54,0.54,them,DH EH M
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,go,go,c,2.31,2.52,0.21,0.21,go,G OW
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,faster,faster,c,2.52,3.06,0.54,0.54,faster,F AA S T AH R
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,than,than,c,3.09,3.45,0.36,0.36,than,TH AE N
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,the,the,c,3.45,3.63,0.18,0.18,the,DH AH
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,moon,moon,c,3.63,4.23,0.6,0.6,moon,M UW N
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,some,some,c,4.47,4.83,0.36,0.36,some,S AH M
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,go,go,c,4.83,5.07,0.24,0.24,go,G OW
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,round,round,c,5.07,5.58,0.51,0.51,round,R AW N D
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,the,the,c,5.61,6.06,0.45,0.45,the,DH AH
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,earth,earth,c,6.45,6.81,0.36,0.36,earth,AH R TH
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,in,in,c,7.26,7.56,0.3,0.3,in,IH N
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,a,a,c,7.59,7.86,0.27,0.27,a,AH
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,day,day,c,7.86,8.34,0.48,0.48,day,D EY
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,these,these,c,8.55,8.85,0.3,0.3,these,DH IY Z
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,man,man,c,8.88,9.18,0.3,0.3,man,M AE N
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,made,made,c,9.18,9.48,0.3,0.3,made,M EY D
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,satellites,satellites,c,9.48,10.2,0.72,0.72,satellites,S AE T AH L AY T S
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,work,work,c,10.2,10.53,0.33,0.33,work,W AH R K
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,for,for,c,10.59,10.92,0.33,0.33,for,F AO R
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,us,us,c,10.95,11.34,0.39,0.39,us,AH S
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,some,some,c,11.61,12.12,0.51,0.51,some,S AH M
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,of,of,c,12.84,13.17,0.33,0.33,of,AO F
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,them,them,c,13.17,13.53,0.36,0.36,them,DH EH M
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,tell,tell,c,13.53,13.92,0.39,0.39,tell,T EH L
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,us,us,c,14.01,14.28,0.27,0.27,us,AH S
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,about,about,c,14.31,14.82,0.51,0.51,about,AH B AW T
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,the,the,c,14.82,15.0,0.18,0.18,the,DH AH
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,weather,weather,c,15.0,15.51,0.51,0.51,weather,W EH DH AH R
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,they,they,c,15.84,16.32,0.48,0.48,they,DH EY
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,tell,tell,c,16.32,16.8,0.48,0.48,tell,T EH L
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,us,us,c,16.86,17.28,0.42,0.42,us,AH S
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,if,if,c,17.34,17.76,0.42,0.42,if,IH F
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,it's,it's,c,17.76,18.09,0.33,0.33,it's,IH T S
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,going,going,c,18.15,18.63,0.48,0.48,going,G OW IH NG
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,to,to,c,18.63,19.2,0.57,0.57,to,T UW
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,rain,rain,c,19.35,20.19,0.84,0.84,rain,R EY N
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,or,<eps>,d,,,,,,AO R
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,if,if,c,20.22,20.46,0.24,0.24,if,IH F
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,it's,it's,c,20.58,20.88,0.3,0.3,it's,IH T S
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,going,going,c,20.91,21.42,0.51,0.51,going,G OW IH NG
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,to,to,c,21.42,21.72,0.3,0.3,to,T UW
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,be,be,c,21.72,21.96,0.24,0.24,be,B IY
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,sunny,sunny,c,21.96,22.44,0.48,0.48,sunny,S AH N IY
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,some,some,c,22.65,23.04,0.39,0.39,some,S AH M
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,of,of,c,23.04,23.25,0.21,0.21,of,AO F
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,them,them,c,23.25,23.79,0.54,0.54,them,DH EH M
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,send,say,s,24.0,24.27,0.27,0.27,say,S EH N D
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,telephone,telephone,c,24.3,25.26,0.96,0.96,telephone,T EH L EH F OW N
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,calls,calls,c,25.74,26.25,0.51,0.51,calls,K AO L S
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,round,round,c,26.79,27.24,0.45,0.45,round,R AW N D
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,the,the,c,27.24,27.42,0.18,0.18,the,DH AH
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,earth,earth,c,27.45,27.84,0.39,0.39,earth,AH R TH
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,some,some,c,28.5,28.92,0.42,0.42,some,S AH M
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,carry,carry,c,28.92,29.46,0.54,0.54,carry,K AE R IY
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,television,television,c,29.46,30.03,0.57,0.57,television,T EH L AH V IH ZH AH N
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,pictures,picture,s,30.03,30.63,0.6,0.6,picture,P IH K CH AH R S
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,these,these,c,30.63,31.17,0.54,0.54,these,DH IY Z
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,satellites,satellites,c,31.41,32.25,0.84,0.84,satellites,S AE T AH L AY T S
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,are,are,c,32.79,33.18,0.39,0.39,are,AA R
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,our,our,c,33.18,33.48,0.3,0.3,our,AA R
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,helpers,helpers,c,33.48,33.84,0.36,0.36,helpers,HH EH L P AH R Z
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,in,in,c,33.84,33.93,0.09,0.09,in,IH N
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,the,the,c,33.93,34.02,0.09,0.09,the,DH AH
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,sky,sky,c,34.02,34.38,0.36,0.36,sky,S K AY
kx_3-a-23_kv_kv-no2-jammu-cantt_22082024-000000-1_EN-OL-RC-244_2,when,when,c,0.75,1.35,0.6,0.6,when,W EH N
kx_3-a-23_kv_kv-no2-jammu-cantt_22082024-000000-1_EN-OL-RC-244_2,you,you,c,1.35,1.77,0.42,0.42,you,Y UW
kx_3-a-23_kv_kv-no2-jammu-cantt_22082024-000000-1_EN-OL-RC-244_2,eat,eat,c,1.77,2.07,0.3,0.3,eat,IY T
kx_3-a-23_kv_kv-no2-jammu-cantt_22082024-000000-1_EN-OL-RC-244_2,a,a,c,2.07,2.13,0.06,0.06,a,AH
kx_3-a-23_kv_kv-no2-jammu-cantt_22082024-000000-1_EN-OL-RC-244_2,banana,banana,c,2.13,2.88,0.75,0.75,banana,B AH N AA N AA
kx_3-a-23_kv_kv-no2-jammu-cantt_22082024-000000-1_EN-OL-RC-244_2,you,you,c,3.21,3.57,0.36,0.36,you,Y UW
kx_3-a-23_kv_kv-no2-jammu-cantt_22082024-000000-1_EN-OL-RC-244_2,see,see,c,3.57,3.9,0.33,0.33,see,S IY
kx_3-a-23_kv_kv-no2-jammu-cantt_22082024-000000-1_EN-OL-RC-244_2,small,small,c,3.9,4.41,0.51,0.51,small,S M AO L
kx_3-a-23_kv_kv-no2-jammu-cantt_22082024-000000-1_EN-OL-RC-244_2,soft,soft,c,4.41,4.98,0.57,0.57,soft,S OW F T
kx_3-a-23_kv_kv-no2-jammu-cantt_22082024-000000-1_EN-OL-RC-244_2,black,back,s,4.98,5.55,0.57,0.57,back,B L AE K
kx_3-a-23_kv_kv-no2-jammu-cantt_22082024-000000-1_EN-OL-RC-244_2,seeds,seeds,c,5.88,6.48,0.6,0.6,seeds,S IY D S
kx_3-a-23_kv_kv-no2-jammu-cantt_22082024-000000-1_EN-OL-RC-244_2,inside,inside,c,6.51,7.41,0.9,0.9,inside,IH N S AY D
kx_3-a-23_kv_kv-no2-jammu-cantt_22082024-000000-1_EN-OL-RC-244_2,the,the,c,7.41,7.71,0.3,0.3,the,DH AH
kx_3-a-23_kv_kv-no2-jammu-cantt_22082024-000000-1_EN-OL-RC-244_2,fruit,fruit,c,7.71,8.34,0.63,0.63,fruit,F R UW T
kx_3-a-23_kv_kv-no2-jammu-cantt_22082024-000000-1_EN-OL-RC-244_2,these,these,c,8.34,8.79,0.45,0.45,these,DH IY Z
kx_3-a-23_kv_kv-no2-jammu-cantt_22082024-000000-1_EN-OL-RC-244_2,seeds,seed,s,9.09,9.45,0.36,0.36,seed,S IY D S
kx_3-a-23_kv_kv-no2-jammu-cantt_22082024-000000-1_EN-OL-RC-244_2,are,are,c,9.45,9.78,0.33,0.33,are,AA R
